date,expenditure_billions,saving_rate_pct,credit_owned_billions,cpi_index,credit_to_spend_ratio,spend_yoy_growth,credit_yoy_growth,inflation_yoy,regime
2016-08-01,12986.1,5.1,3565415.37,240.545,274.5562847968212,2.255171382001153,3.0392690602513817,1.0553158595656864,1_pre_covid
2016-09-01,13020.9,5.1,3586384.17,241.176,275.4328940395825,2.4686791740115677,2.8241907958645562,1.5486446201652182,1_pre_covid
2016-10-01,13014.9,5.3,3601496.03,241.741,276.72099132532713,2.3513868463891585,2.816900994298055,1.685924966243646,1_pre_covid
2016-11-01,13036.8,5.4,3618234.46,242.026,277.54007578546884,2.353772473894944,3.064726148006036,1.6843334719788938,1_pre_covid
2016-12-01,13128.5,5.0,3636437.75,242.637,276.98806032677,2.7486245137861687,6.946806453549859,2.0507989115119862,1_pre_covid
2017-01-01,13136.3,5.3,3653343.88,243.618,278.11056994739766,2.637767898302168,6.830416089662239,2.5103933482571117,1_pre_covid
2017-02-01,13143.4,5.6,3670001.71,244.006,279.2277272243103,2.013349891338101,6.732168837055585,2.8103616813294208,1_pre_covid
2017-03-01,13201.7,5.6,3685313.86,243.892,279.1544922244862,2.848217137604103,6.321363633855004,2.44119623655914,1_pre_covid
2017-04-01,13206.1,5.7,3699276.18,244.193,280.1187466398104,2.6099050519805322,6.11267928211594,2.176223471915395,1_pre_covid
2017-05-01,13214.5,6.3,3713355.62,244.004,281.00613871126416,2.507912374332877,5.984421941841456,1.8563431667619756,1_pre_covid
2017-06-01,13256.7,6.0,3729019.93,244.163,281.2932275754901,2.379407812427603,5.817509386961794,1.640565809959127,1_pre_covid
2017-07-01,13290.1,6.0,3744877.31,244.243,281.77946817555926,2.450625183083832,5.704838525262668,1.7251073506566073,1_pre_covid
2017-08-01,13291.7,6.1,3758495.85,245.183,282.7701385074896,2.353285435966157,5.415371281130699,1.92812155729698,1_pre_covid
2017-09-01,13364.4,5.9,3773286.65,246.435,282.3386496962078,2.6380664930995446,5.211446156924127,2.1805652303711787,1_pre_covid
2017-10-01,13377.0,6.0,3796951.2,246.626,283.84175824175827,2.782195790978026,5.427054989701063,2.020757753132485,1_pre_covid
2017-11-01,13450.3,5.6,3816268.18,247.284,283.7310825780838,3.1717906234658866,5.473214137704052,2.172493864295566,1_pre_covid
2017-12-01,13555.4,5.0,3830784.99,247.805,282.6021356802455,3.251704307422787,5.344440173628717,2.129930719552253,1_pre_covid
2018-01-01,13541.3,5.7,3847835.29,248.859,284.1555308574509,3.083059917937314,5.323654613099271,2.151318868063945,1_pre_covid
2018-02-01,13547.3,5.8,3863797.02,249.529,285.2079026817152,3.073025244609462,5.280523697630657,2.263468931091861,1_pre_covid
2018-03-01,13586.5,5.9,3876055.41,249.577,285.2872638280646,2.9147761273169204,5.1757206372648135,2.3309497646499366,1_pre_covid
2018-04-01,13598.7,6.0,3883468.11,250.227,285.5764234816563,2.972868598602174,4.979134323515133,2.4709963021052994,1_pre_covid
2018-05-01,13640.5,6.0,3900522.44,250.792,285.9515736226678,3.2237315070566375,5.040368851071686,2.781921607842497,1_pre_covid
2018-06-01,13653.7,6.3,3902512.72,251.018,285.82089250532823,2.9947121078398142,4.652503694181109,2.8075506935940187,1_pre_covid
2018-07-01,13682.7,6.5,3924685.82,251.214,286.8356260094864,2.954078599860055,4.801452627562841,2.854124785561929,1_pre_covid
2018-08-01,13711.5,6.6,3945881.92,251.663,287.77901177843415,3.158361985299085,4.985666539980338,2.6429238568742575,1_pre_covid
2018-09-01,13687.1,6.8,3957685.36,252.182,289.1544125490425,2.4146239262518465,4.886952068695871,2.332055105808828,1_pre_covid
2018-10-01,13727.1,6.7,3976272.51,252.772,289.66588063028604,2.6171787396277235,4.722770995845282,2.492032470218053,1_pre_covid
2018-11-01,13800.3,6.5,3991704.17,252.594,289.2476373702021,2.602172442250361,4.597056121983534,2.147328577667773,1_pre_covid
2018-12-01,13682.3,8.4,4007041.95,252.767,292.86318455230486,0.9361582837835725,4.601066373082974,2.0023809043401064,1_pre_covid
2019-01-01,13721.7,8.4,4027115.1,252.561,293.4851439690417,1.3322206878217058,4.6592381556956,1.4875893578291333,1_pre_covid
2019-02-01,13728.5,8.5,4039700.24,253.319,294.25649124084936,1.3375358927609327,4.552599918926381,1.5188615351321877,1_pre_covid
2019-03-01,13824.8,7.9,4051968.06,254.277,293.09415398414444,1.7539469326169232,4.538445181824691,1.8831863513063984,1_pre_covid
2019-04-01,13825.9,7.6,4068537.58,255.233,294.2692757795153,1.6707479391412372,4.765572028863652,2.000583470209061,1_pre_covid
2019-05-01,13877.1,7.3,4083364.56,255.296,294.2520094256004,1.7345405227081168,4.687631536866643,1.7959105553606136,1_pre_covid
2019-06-01,13924.1,7.1,4093992.14,255.213,294.02202943098655,1.9804155650116728,4.906567479426438,1.671194894390049,1_pre_covid
2019-07-01,13989.9,6.8,4117712.6,255.802,294.3346700119372,2.2451709092503602,4.918273432648945,1.826331335037068,1_pre_covid
2019-08-01,14043.6,6.9,4134319.33,256.036,294.39170369420947,2.4220544798162047,4.775546096422478,1.7376412106666406,1_pre_covid
2019-09-01,14066.2,7.0,4146326.69,256.43,294.77234007763286,2.769761308093033,4.766455967080718,1.6844977040391562,1_pre_covid
2019-10-01,14067.2,7.1,4163620.6,257.155,295.98076376251134,2.477580843732463,4.711651163969144,1.7339736996186295,1_pre_covid
2019-11-01,14142.8,6.9,4164684.83,257.879,294.47385454082644,2.481830105142646,4.333504003128574,2.092290394862917,1_pre_covid
2019-12-01,14165.7,6.2,4192191.39,258.63,295.9395857599695,3.533031727121916,4.620601488836429,2.3195274699624457,1_pre_covid
2020-01-01,14230.7,6.8,4171798.04,259.127,293.15480194227973,3.709452910353672,3.592719264468003,2.599767976845202,1_pre_covid
2020-02-01,14181.4,7.5,4185445.34,259.25,295.1362587614763,3.298976581563906,3.6078196732735712,2.3413166797595197,1_pre_covid
2020-03-01,13249.1,12.4,4171393.21,258.076,314.84351465382554,-4.164255540767314,2.947336904723774,1.4940399642909163,2_covid_stimulus
2020-04-01,11798.6,31.8,4106902.98,256.032,348.0839235163494,-14.663059909300657,0.942977648494514,0.3130472940411133,2_covid_stimulus
2020-05-01,12780.5,22.6,4090245.93,255.802,320.0380212041783,-7.902227410626139,0.16852205819213317,0.1982013035848551,2_covid_stimulus
